State, Year, Enrolled Agencies, Participating, Enrolled
AK,2019,"Alaska Department of Public Safety, Alaska State Troopers",Yes,
AK,2019,"Anchorage Police Department",Yes,Yes
AK,2019,"Bethel Police Department",Yes,Yes
AK,2019,"Cordova Police Department",Yes,Yes
AK,2019,"Fairbanks International Airport",Yes,Yes
AK,2019,"Fairbanks Police Department",Yes,
AK,2019,"Haines Police Department",Yes,Yes
AK,2019,"Juneau Police Department",Yes,Yes
AK,2019,"Ketchikan Police Department",Yes,
AK,2019,"Kodiak Police Department",Yes,Yes
AK,2019,"Palmer Police Department",Yes,Yes
AK,2019,"Petersburg Police Department",Yes,Yes
AK,2019,"Soldotna Police Department",Yes,Yes
AK,2019,"University of Alaska, Fairbanks",Yes,Yes
AK,2019,"Valdez Police Department",Yes,Yes
AK,2019,"Wasilla Police Department",Yes,Yes
AL,2019,"Ashville Police Department",Yes,Yes
AL,2019,"Birmingham Police Department",,Yes
AL,2019,"Cottonwood Police Department",Yes,Yes
AL,2019,"Leeds Police Department",Yes,Yes
AL,2019,"Madison Police Department",Yes,
AL,2019,"Millbrook Police Department",,Yes
AR,2019,"Benton County Sheriff's Office",Yes,Yes
AR,2019,"Fort Smith Police Department",Yes,Yes
AR,2019,"Pope County Sheriff's Office",,Yes
AR,2019,"Pulaski County Sheriff's Office",Yes,Yes
AR,2019,"Quitman Police Department",Yes,Yes
AR,2019,"Rogers Police Department",Yes,Yes
AR,2019,"State Police Headquarters, Little Rock",Yes,Yes
AR,2019,"University of Central Arkansas",Yes,Yes
AZ,2019,"Arizona Department of Public Safety",,Yes
AZ,2019,"Casa Grande Police Department",Yes,Yes
AZ,2019,"Chandler Police Department",Yes,Yes
AZ,2019,"Fort McDowell Tribal",Yes,Yes
AZ,2019,"Gila River Indian Community",Yes,Yes
AZ,2019,"Hualapai Tribal",Yes,Yes
AZ,2019,"Kingman Police Department",Yes,Yes
AZ,2019,"Mesa Police Department",Yes,Yes
AZ,2019,"Northern Arizona University",Yes,Yes
AZ,2019,"Pascua Yaqui Tribal",Yes,Yes
AZ,2019,"Prescott Valley Police Department",Yes,Yes
AZ,2019,"Scottsdale Police Department",Yes,Yes
AZ,2019,"Tohono O'odham Nation",Yes,Yes
AZ,2019,"Tucson Police Department",Yes,Yes
AZ,2019,"Wellton Police Department",Yes,Yes
CA,2019,"Alameda Police Department",,Yes
CA,2019,"Beverly Hills Police Department",Yes,Yes
CA,2019,"Chino Police Department",Yes,Yes
CA,2019,"Citrus Heights Police Department",Yes,Yes
CA,2019,"Claremont Police Department",Yes,Yes
CA,2019,"Department of Parks and Recreation, Orange County",,Yes
CA,2019,"Elk Grove Police Department",Yes,Yes
CA,2019,"Escalon Police Department",Yes,Yes
CA,2019,"Exeter Police Department",Yes,Yes
CA,2019,"Folsom Police Department",Yes,Yes
CA,2019,"Fresno Police Department",Yes,Yes
CA,2019,"Kern County Sheriff's Office",Yes,Yes
CA,2019,"Kings County Sheriff's Office",,Yes
CA,2019,"Lodi Police Department",Yes,Yes
CA,2019,"Long Beach Police Department",Yes,Yes
CA,2019,"Los Angeles International Airport Police Department",,Yes
CA,2019,"Los Angeles Police Department",Yes,Yes
CA,2019,"Marin County Sheriff's Office",,Yes
CA,2019,"Oakland Police Department",Yes,Yes
CA,2019,"Orange County Sheriff's Office",Yes,Yes
CA,2019,"San Diego County Sheriff's Office",Yes,Yes
CA,2019,"San Diego Police Department",Yes,Yes
CA,2019,"San Francisco Police Department",Yes,Yes
CA,2019,"San Jose Police Department",Yes,Yes
CA,2019,"Santa Cruz County Sheriff's Office",Yes,Yes
CA,2019,"Seaside Police Department",Yes,Yes
CA,2019,"Vacaville Police Department",Yes,Yes
CA,2019,"Woodland Police Department",Yes,Yes
CO,2019,"22nd Judicial District Drug Task Force",,Yes
CO,2019,"Adams County Sheriff's Office",,Yes
CO,2019,"Adams State University",Yes,Yes
CO,2019,"Aims Community College",,Yes
CO,2019,"Akron Police Department",,Yes
CO,2019,"Alamosa County Sheriff's Office",,Yes
CO,2019,"Alamosa Police Department",Yes,Yes
CO,2019,"All Crimes Enforcement Team",Yes,Yes
CO,2019,"Alma Police Department",,Yes
CO,2019,"Antonito Police Department",,Yes
CO,2019,"Arapahoe Community College",Yes,Yes
CO,2019,"Arapahoe County Sheriff's Office",Yes,Yes
CO,2019,"Archuleta County Sheriff's Office",Yes,Yes
CO,2019,"Arvada Police Department",Yes,Yes
CO,2019,"Aspen Police Department",Yes,Yes
CO,2019,"Ault Police Department",Yes,Yes
CO,2019,"Auraria Higher Education Center",Yes,Yes
CO,2019,"Aurora Police Department",Yes,Yes
CO,2019,"Avon Police Department",Yes,Yes
CO,2019,"Baca County Sheriff's Office",Yes,Yes
CO,2019,"Basalt Police Department",Yes,Yes
CO,2019,"Bayfield Police Department",Yes,Yes
CO,2019,"Bent County Sheriff's Office",Yes,Yes
CO,2019,"Berthoud Police Department",,Yes
CO,2019,"Black Hawk Police Department",Yes,Yes
CO,2019,"Blue River Police Department",Yes,Yes
CO,2019,"Boulder County Sheriff's Office",Yes,Yes
CO,2019,"Boulder Police Department",Yes,Yes
CO,2019,"Bow Mar Police Department",,Yes
CO,2019,"Breckenridge Police Department",Yes,Yes
CO,2019,"Brighton Police Department",Yes,Yes
CO,2019,"Broomfield Police Department",Yes,Yes
CO,2019,"Brush Police Department",Yes,Yes
CO,2019,"Buena Vista Police Department",Yes,Yes
CO,2019,"Burlington Police Department",Yes,Yes
CO,2019,"Calhan Police Department",,Yes
CO,2019,"Campo Police Department",,Yes
CO,2019,"Canon City Police Department",,Yes
CO,2019,"Carbondale Police Department",Yes,Yes
CO,2019,"Castle Rock Police Department",Yes,Yes
CO,2019,"Cedaredge Police Department",,Yes
CO,2019,"Centennial Police Department",Yes,Yes
CO,2019,"Center Police Department",Yes,Yes
CO,2019,"Central City",,Yes
CO,2019,"Chaffee County Sheriff's Office",Yes,Yes
CO,2019,"Cherry Hills Village Police Department",Yes,Yes
CO,2019,"Cheyenne County Sheriff's Office",,Yes
CO,2019,"Cheyenne Wells Police Department",,Yes
CO,2019,"Clear Creek County Sheriff's Office",,Yes
CO,2019,"Collbran Police Department",,Yes
CO,2019,"Colorado Bureau of Investigation",Yes,Yes
CO,2019,"Colorado Division of Gaming, Central City",Yes,
CO,2019,"Colorado Division of Gaming, Cripple Creek",Yes,
CO,2019,"Colorado Division of Gaming, Lakewood",Yes,
CO,2019,"Colorado Mental Health Institute",Yes,Yes
CO,2019,"Colorado School of Mines",Yes,Yes
CO,2019,"Colorado Springs Police Department",Yes,Yes
CO,2019,"Colorado State Police Executive Security",Yes,
CO,2019,"Colorado State Police, Troop 1A, Golden",Yes,
CO,2019,"Colorado State Police, Troop 1D, Commerce City",Yes,
CO,2019,"Colorado State Police, Troop 1D, Metro District",Yes,
CO,2019,"Colorado State Police Troop 1E",Yes,
CO,2019,"Colorado State Police Troop 2A",Yes,
CO,2019,"Colorado State Police, Troop 2B, Colorado Springs",Yes,
CO,2019,"Colorado State Police Troop 2C",Yes,
CO,2019,"Colorado State Police, Troop 2D, Trinidad",Yes,
CO,2019,"Colorado State Police Troop 3B",Yes,
CO,2019,"Colorado State Police Troop 3C",Yes,
CO,2019,"Colorado State Police Troop 3D",Yes,
CO,2019,"Colorado State Police Troop 4A",Yes,
CO,2019,"Colorado State Police Troop 4B",Yes,
CO,2019,"Colorado State Police, Troop 5A, Durango",Yes,
CO,2019,"Colorado State Police Troop 5C",Yes,
CO,2019,"Colorado State University, Fort Collins",Yes,Yes
CO,2019,"Colorado State University, Pueblo",,Yes
CO,2019,"Columbine Valley Police Department",,Yes
CO,2019,"Commerce City Police Department",Yes,Yes
CO,2019,"Conejos County Sheriff's Office",Yes,Yes
CO,2019,"Cortez Police Department",Yes,Yes
CO,2019,"Costilla County Sheriff's Office",,Yes
CO,2019,"Craig Police Department",Yes,Yes
CO,2019,"Creede Police Department",,Yes
CO,2019,"Crested Butte Police Department",Yes,Yes
CO,2019,"Cripple Creek Police Department",Yes,Yes
CO,2019,"Crowley County Sheriff's Office",Yes,Yes
CO,2019,"Custer County Sheriff's Office",Yes,Yes
CO,2019,"Dacono Police Department",Yes,Yes
CO,2019,"De Beque Police Department",,Yes
CO,2019,"Del Norte Police Department",,Yes
CO,2019,"Delta County Sheriff's Office",Yes,Yes
CO,2019,"Delta Montrose Drug Task Force",Yes,Yes
CO,2019,"Delta Police Department",Yes,Yes
CO,2019,"Denver County Sheriff's Office",,Yes
CO,2019,"Denver Police Department",Yes,Yes
CO,2019,"Derby Police Department",,Yes
CO,2019,"Dillon Police Department",Yes,Yes
CO,2019,"Dinosaur Police Department",,Yes
CO,2019,"Dolores County Sheriff's Office",Yes,Yes
CO,2019,"Dolores Police Department",,Yes
CO,2019,"Douglas County Sheriff's Office",Yes,Yes
CO,2019,"Dove Creek Police Department",,Yes
CO,2019,"Durango Police Department",Yes,Yes
CO,2019,"Eads Police Department",,Yes
CO,2019,"Eagle County Sheriff's Office",Yes,Yes
CO,2019,"Eagle Police Department",Yes,Yes
CO,2019,"Eaton Police Department",Yes,Yes
CO,2019,"Edgewater Police Department",Yes,Yes
CO,2019,"Elbert County Sheriff's Office",Yes,Yes
CO,2019,"Elizabeth Police Department",Yes,Yes
CO,2019,"El Paso County Sheriff's Office",Yes,Yes
CO,2019,"Empire Police Department",Yes,Yes
CO,2019,"Englewood Police Department",Yes,Yes
CO,2019,"Erie Police Department",Yes,Yes
CO,2019,"Estes Park Police Department",,Yes
CO,2019,"Evans Police Department",Yes,Yes
CO,2019,"Fairplay Police Department",Yes,Yes
CO,2019,"Federal Heights Police Department",,Yes
CO,2019,"Firestone Police Department",Yes,Yes
CO,2019,"Flagler Police Department",,Yes
CO,2019,"Fleming Police Department",,Yes
CO,2019,"Florence Police Department",,Yes
CO,2019,"Fort Collins Police Department",Yes,Yes
CO,2019,"Fort Lewis College",,Yes
CO,2019,"Fort Lupton Police Department",,Yes
CO,2019,"Fort Morgan Police Department",,Yes
CO,2019,"Fountain Police Department",Yes,Yes
CO,2019,"Fowler Police Department",Yes,Yes
CO,2019,"Fraser/Winter Park Police Department",Yes,Yes
CO,2019,"Frederick Police Department",Yes,Yes
CO,2019,"Fremont County Sheriff's Office",Yes,Yes
CO,2019,"Frisco Police Department",Yes,Yes
CO,2019,"Fruita Police Department",,Yes
CO,2019,"Garden City Police Department",Yes,Yes
CO,2019,"Garfield County Sheriff's Office",Yes,Yes
CO,2019,"Georgetown Police Department",,Yes
CO,2019,"Gilcrest Police Department",,Yes
CO,2019,"Gilpin County Sheriff's Office",Yes,Yes
CO,2019,"Glendale Police Department",Yes,Yes
CO,2019,"Glenwood Springs Police Department",Yes,Yes
CO,2019,"Golden Police Department",Yes,Yes
CO,2019,"Granada Police Department",,Yes
CO,2019,"Granby Police Department",Yes,Yes
CO,2019,"Grand County Sheriff's Office",Yes,Yes
CO,2019,"Grand Junction Police Department",,Yes
CO,2019,"Grand Lake",,Yes
CO,2019,"Greeley Police Department",,Yes
CO,2019,"Green Mountain Falls Police Department",Yes,Yes
CO,2019,"Greenwood Village Police Department",Yes,Yes
CO,2019,"Gunnison County Sheriff's Office",Yes,Yes
CO,2019,"Gunnison Police Department",Yes,Yes
CO,2019,"Gypsum Police Department",Yes,Yes
CO,2019,"Haxtun Police Department",Yes,Yes
CO,2019,"Hayden Police Department",Yes,Yes
CO,2019,"Hinsdale County Sheriff's Office",Yes,Yes
CO,2019,"Holly Police Department",,Yes
CO,2019,"Holyoke Police Department",Yes,Yes
CO,2019,"Hotchkiss Police Department",Yes,Yes
CO,2019,"Hudson Police Department",Yes,Yes
CO,2019,"Huerfano County Sheriff's Office",,Yes
CO,2019,"Hugo Police Department",,Yes
CO,2019,"Idaho Springs Police Department",Yes,Yes
CO,2019,"Ignacio Police Department",Yes,Yes
CO,2019,"Jackson County Sheriff's Office",,Yes
CO,2019,"Jefferson County Sheriff's Office",Yes,Yes
CO,2019,"Johnstown Police Department",Yes,Yes
CO,2019,"Julesburg Police Department",,Yes
CO,2019,"Keenesburg Police Department",,Yes
CO,2019,"Kersey Police Department",Yes,Yes
CO,2019,"Kiowa County Sheriff's Office",Yes,Yes
CO,2019,"Kiowa Police Department",,Yes
CO,2019,"Kit Carson County Sheriff's Office",,Yes
CO,2019,"Kremmling Police Department",,Yes
CO,2019,"Lafayette Police Department",Yes,Yes
CO,2019,"La Jara Police Department",,Yes
CO,2019,"La Junta Police Department",Yes,Yes
CO,2019,"Lake County Sheriff's Office",,Yes
CO,2019,"Lakeside Police Department",Yes,Yes
CO,2019,"Lakewood Police Department",Yes,Yes
CO,2019,"Lamar Police Department",Yes,Yes
CO,2019,"La Plata County Sheriff's Office",,Yes
CO,2019,"Larimer County Sheriff's Office",,Yes
CO,2019,"La Salle Police Department",Yes,Yes
CO,2019,"Las Animas County Sheriff's Office",Yes,Yes
CO,2019,"Las Animas Police Department",,Yes
CO,2019,"La Veta Police Department",,Yes
CO,2019,"Leadville Police Department",Yes,Yes
CO,2019,"Limon Police Department",Yes,Yes
CO,2019,"Lincoln County Sheriff's Office",,Yes
CO,2019,"Littleton Police Department",Yes,Yes
CO,2019,"Lochbuie Police Department",,Yes
CO,2019,"Logan County Sheriff's Office",Yes,Yes
CO,2019,"Log Lane Village Police Department",,Yes
CO,2019,"Lone Tree Police Department",Yes,Yes
CO,2019,"Longmont Police Department",,Yes
CO,2019,"Louisville Police Department",Yes,Yes
CO,2019,"Loveland Police Department",Yes,Yes
CO,2019,"Lyons Police Department",,Yes
CO,2019,"Manassa Police Department",,Yes
CO,2019,"Mancos Police Department",Yes,Yes
CO,2019,"Manitou Springs Police Department",,Yes
CO,2019,"Manzanola Police Department",,Yes
CO,2019,"Mead Police Department",Yes,Yes
CO,2019,"Meeker Police Department",Yes,Yes
CO,2019,"Mesa County Sheriff's Office",Yes,Yes
CO,2019,"Mesa State College",,Yes
CO,2019,"Milliken Police Department",Yes,Yes
CO,2019,"Mineral County Sheriff's Office",Yes,Yes
CO,2019,"Minturn Police Department",,Yes
CO,2019,"Moffat County Sheriff's Office",Yes,Yes
CO,2019,"Monte Vista Police Department",Yes,Yes
CO,2019,"Montezuma County Sheriff's Office",Yes,Yes
CO,2019,"Montrose County Sheriff's Office",Yes,Yes
CO,2019,"Montrose Police Department",Yes,Yes
CO,2019,"Monument Police Department",,Yes
CO,2019,"Morgan County Sheriff's Office",Yes,Yes
CO,2019,"Morrison Police Department",Yes,Yes
CO,2019,"Mountain View Police Department",Yes,Yes
CO,2019,"Mountain Village Police Department",Yes,Yes
CO,2019,"Mount Crested Butte Police Department",Yes,Yes
CO,2019,"Naturita Police Department",,Yes
CO,2019,"Nederland Police Department",Yes,Yes
CO,2019,"New Castle Police Department",Yes,Yes
CO,2019,"Northglenn Police Department",Yes,Yes
CO,2019,"Norwood Police Department",,Yes
CO,2019,"Nucla Police Department",,Yes
CO,2019,"Oak Creek Police Department",Yes,Yes
CO,2019,"Olathe Police Department",Yes,Yes
CO,2019,"Ordway Police Department",,Yes
CO,2019,"Otero County Sheriff's Office",,Yes
CO,2019,"Otis Police Department",,Yes
CO,2019,"Ouray County Sheriff's Office",Yes,Yes
CO,2019,"Ouray Police Department",,Yes
CO,2019,"Pagosa Springs Police Department",,Yes
CO,2019,"Palisade Police Department",Yes,Yes
CO,2019,"Palmer Lake Police Department",,Yes
CO,2019,"Paonia Police Department",,Yes
CO,2019,"Parachute Police Department",Yes,Yes
CO,2019,"Park County Sheriff's Office",,Yes
CO,2019,"Parker Police Department",Yes,Yes
CO,2019,"Phillips County Sheriff's Office",Yes,Yes
CO,2019,"Pierce Police Department",,Yes
CO,2019,"Pikes Peak Community College",Yes,Yes
CO,2019,"Pitkin County Sheriff's Office",Yes,Yes
CO,2019,"Platteville Police Department",Yes,Yes
CO,2019,"Pritchett Police Department",,Yes
CO,2019,"Prowers County Sheriff's Office",Yes,Yes
CO,2019,"Pueblo County Sheriff's Office",Yes,Yes
CO,2019,"Pueblo Police Department",Yes,Yes
CO,2019,"Rangely Police Department",Yes,Yes
CO,2019,"Red Rocks Community College",Yes,Yes
CO,2019,"Ridgway Police Department",,Yes
CO,2019,"Rifle Police Department",Yes,Yes
CO,2019,"Rio Blanco County Sheriff's Office",Yes,Yes
CO,2019,"Rio Grande County Sheriff's Office",Yes,Yes
CO,2019,"Rocky Ford Police Department",,Yes
CO,2019,"Romeo Police Department",,Yes
CO,2019,"Routt County Sheriff's Office",Yes,Yes
CO,2019,"Saguache County Sheriff's Office",,Yes
CO,2019,"Saguache Police Department",,Yes
CO,2019,"Salida Police Department",Yes,Yes
CO,2019,"Sanford Police Department",,Yes
CO,2019,"San Juan County Sheriff's Office",Yes,Yes
CO,2019,"San Luis Police Department",,Yes
CO,2019,"San Miguel County Sheriff's Office",Yes,Yes
CO,2019,"Sedgwick County Sheriff's Office",Yes,Yes
CO,2019,"Severance Police Department",Yes,Yes
CO,2019,"Sheridan Police Department",Yes,Yes
CO,2019,"Silt Police Department",Yes,Yes
CO,2019,"Silverthorne Police Department",Yes,Yes
CO,2019,"Silverton Police Department",,Yes
CO,2019,"Simla Police Department",Yes,Yes
CO,2019,"Snowmass Village Police Department",,Yes
CO,2019,"South Fork Police Department",Yes,Yes
CO,2019,"South Metro Drug Task Force",,Yes
CO,2019,"Southwest Drug Task Force",Yes,Yes
CO,2019,"Springfield Police Department",Yes,Yes
CO,2019,"State Patrol",Yes,Yes
CO,2019,"Steamboat Springs Police Department",,Yes
CO,2019,"Sterling Police Department",Yes,Yes
CO,2019,"Stratton Police Department",,Yes
CO,2019,"Summit County Sheriff's Office",Yes,Yes
CO,2019,"Teller County Sheriff's Office",,Yes
CO,2019,"Telluride Police Department",Yes,Yes
CO,2019,"Thornton Police Department",,Yes
CO,2019,"Timnath Police Department",Yes,Yes
CO,2019,"Trinidad Police Department",Yes,Yes
CO,2019,"Two Rivers Drug Enforcement Team",,Yes
CO,2019,"University of Colorado, Boulder",Yes,Yes
CO,2019,"University of Colorado, Colorado Springs",Yes,Yes
CO,2019,"University of Colorado, Denver",Yes,Yes
CO,2019,"University of Denver",,Yes
CO,2019,"University of Northern Colorado",Yes,Yes
CO,2019,"Ute Mountain Tribal Police Department",,Yes
CO,2019,"Vail Police Department",Yes,Yes
CO,2019,"Victor Police Department",,Yes
CO,2019,"Walsenburg Police Department",,Yes
CO,2019,"Walsh Police Department",Yes,Yes
CO,2019,"Washington County Sheriff's Office",Yes,Yes
CO,2019,"Weld County Sheriff's Office",,Yes
CO,2019,"Wellington Police Department",,Yes
CO,2019,"Westcliffe Police Department",,Yes
CO,2019,"Westminster Police Department",Yes,Yes
CO,2019,"Wheat Ridge Police Department",Yes,Yes
CO,2019,"Wiggins Police Department",,Yes
CO,2019,"Windsor Police Department",Yes,Yes
CO,2019,"Woodland Park Police Department",Yes,Yes
CO,2019,"Wray Police Department",,Yes
CO,2019,"Yampa Police Department",,Yes
CO,2019,"Yuma County Sheriff's Office",,Yes
CO,2019,"Yuma Police Department",Yes,Yes
CT,2019,"Berlin Police Department",Yes,Yes
CT,2019,"Connecticut State Police",,Yes
CT,2019,"Coventry Police Department",Yes,Yes
CT,2019,"East Haven Police Department",Yes,Yes
CT,2019,"Farmington Police Department",Yes,Yes
CT,2019,"Glastonbury Police Department",Yes,Yes
CT,2019,"Mashantucket Pequot Tribal",Yes,Yes
CT,2019,"New London Police Department",Yes,Yes
CT,2019,"Norwalk Police Department",Yes,Yes
CT,2019,"Old Saybrook Police Department",,Yes
CT,2019,"State Capitol Police",Yes,Yes
CT,2019,"Winchester Police Department",Yes,Yes
DC,2019,"Washington Metro Police Department",Yes,Yes
DE,2019,"Alcohol and Tobacco Enforcement",Yes,Yes
DE,2019,"Amtrak Police",Yes,Yes
DE,2019,"Animal Welfare, Kent County",Yes,Yes
DE,2019,"Attorney General, Kent County",Yes,Yes
DE,2019,"Attorney General, New Castle County",Yes,Yes
DE,2019,"Attorney General, Sussex County",Yes,Yes
DE,2019,"Bethany Beach Police Department",Yes,Yes
DE,2019,"Bethel Police Department",Yes,Yes
DE,2019,"Blades Police Department",Yes,Yes
DE,2019,"Bowers Beach Police Department",Yes,Yes
DE,2019,"Bridgeville Police Department",Yes,Yes
DE,2019,"Camden Police Department",Yes,Yes
DE,2019,"Cheswold Police Department",Yes,Yes
DE,2019,"Clayton Police Department",Yes,Yes
DE,2019,"Dagsboro Police Department",Yes,Yes
DE,2019,"Delaware City Police Department",Yes,Yes
DE,2019,"Delaware River-Bay Authority, Lewes Ferry",Yes,
DE,2019,"Delaware State University",Yes,Yes
DE,2019,"Delmar Police Department",Yes,Yes
DE,2019,"Dewey Beach Police Department",Yes,Yes
DE,2019,"Dover Fire Marshal",Yes,Yes
DE,2019,"Dover Police Department",Yes,Yes
DE,2019,"Ellendale Police Department",Yes,Yes
DE,2019,"Elsmere Police Department",Yes,Yes
DE,2019,"Environmental Control",Yes,Yes
DE,2019,"Environmental Protection, Marine Police, New Castle",Yes,
DE,2019,"Environmental Protection Marine Police, Sussex",Yes,
DE,2019,"Felton Police Department",Yes,Yes
DE,2019,"Fenwick Island Police Department",Yes,Yes
DE,2019,"Fish and Wildlife",Yes,Yes
DE,2019,"Frankford Police Department",Yes,Yes
DE,2019,"Frederica Police Department",Yes,Yes
DE,2019,"Georgetown Police Department",Yes,Yes
DE,2019,"Greenwood Police Department",Yes,Yes
DE,2019,"Harrington Police Department",Yes,Yes
DE,2019,"Houston Police Department",Yes,
DE,2019,"Kenton Police Department",Yes,Yes
DE,2019,"Laurel Police Department",Yes,Yes
DE,2019,"Lewes Police Department",Yes,Yes
DE,2019,"Little Creek Police Department",Yes,
DE,2019,"Magnolia Police Department",Yes,
DE,2019,"Middletown Police Department",Yes,Yes
DE,2019,"Milford Police Department",Yes,Yes
DE,2019,"Millsboro Police Department",Yes,Yes
DE,2019,"Milton Police Department",Yes,Yes
DE,2019,"Narcotics and Dangerous Drugs, Sussex",Yes,
DE,2019,"Newark Police Department",Yes,Yes
DE,2019,"New Castle County Police Department",Yes,Yes
DE,2019,"New Castle Police Department",Yes,Yes
DE,2019,"Newport Police Department",Yes,Yes
DE,2019,"Ocean View Police Department",Yes,Yes
DE,2019,"Office of Narcotics and Dangerous Drugs",Yes,Yes
DE,2019,"Park Rangers",Yes,Yes
DE,2019,"Rehoboth Beach Police Department",Yes,Yes
DE,2019,"River and Bay Authority",Yes,Yes
DE,2019,"Seaford Police Department",Yes,Yes
DE,2019,"Selbyville Police Department",Yes,Yes
DE,2019,"Smyrna Police Department",Yes,Yes
DE,2019,"South Bethany Police Department",Yes,Yes
DE,2019,"State Capitol Police",Yes,Yes
DE,2019,"State Fire Marshal",Yes,Yes
DE,2019,"State Police",Yes,Yes
DE,2019,"State Police, Kent County",Yes,Yes
DE,2019,"State Police, New Castle County",Yes,Yes
DE,2019,"State Police, Sussex County",Yes,Yes
DE,2019,"University of Delaware",Yes,Yes
DE,2019,"Viola Police Department",Yes,Yes
DE,2019,"Wilmington Fire Department",Yes,Yes
DE,2019,"Wilmington Police Department",Yes,Yes
DE,2019,"Wyoming Police Department",Yes,Yes
FL,2019,"Alachua County Sheriff's Office",,Yes
FL,2019,"Atlantis Police Department",Yes,Yes
FL,2019,"Bradenton Police Department",Yes,
FL,2019,"Charlotte County Sheriff's Office",Yes,Yes
FL,2019,"Clay County Sheriff's Office",Yes,Yes
FL,2019,"Clearwater Police Department",Yes,Yes
FL,2019,"Coral Gables Police Department",Yes,Yes
FL,2019,"Daytona Beach Police Department",Yes,Yes
FL,2019,"Delray Beach Police Department",Yes,Yes
FL,2019,"Florida Gulf Coast University",Yes,
FL,2019,"Highway Patrol, Miami-Dade County",Yes,Yes
FL,2019,"Hillsborough County Sheriff's Office",Yes,Yes
FL,2019,"Jacksonville Police Department",Yes,Yes
FL,2019,"Kissimmee Police Department",Yes,Yes
FL,2019,"Lake Wales Police Department",Yes,Yes
FL,2019,"Manatee County Sheriff's Office",Yes,Yes
FL,2019,"Miramar Police Department",Yes,Yes
FL,2019,"New College of Florida",Yes,Yes
FL,2019,"New Port Richey Police Department",,Yes
FL,2019,"New Smyrna Beach Police Department",Yes,Yes
FL,2019,"North Miami Police Department",Yes,Yes
FL,2019,"Orange County Sheriff's Office",Yes,Yes
FL,2019,"Orlando Police Department",Yes,Yes
FL,2019,"Palm Beach Police Department",Yes,Yes
FL,2019,"Pasco County Sheriff's Office",Yes,Yes
FL,2019,"Pinellas County Sheriff's Office",Yes,Yes
FL,2019,"Sarasota County Schools",Yes,
FL,2019,"Sarasota County Sheriff's Office",Yes,
FL,2019,"Sarasota-Manatee Airport Authority",Yes,Yes
FL,2019,"Sarasota Police Department",Yes,Yes
FL,2019,"St. Augustine Beach Police Department",,Yes
FL,2019,"Tallahassee Police Department",Yes,Yes
FL,2019,"Tarpon Springs Police Department",Yes,Yes
FL,2019,"Venice Police Department",Yes,Yes
FL,2019,"Volusia County Sheriff's Office",Yes,Yes
GA,2019,"Acworth Police Department",Yes,Yes
GA,2019,"Adairsville Police Department",Yes,Yes
GA,2019,"Alpharetta Police Department",Yes,Yes
GA,2019,"Athens-Clarke County Police Department",Yes,Yes
GA,2019,"Atlanta Police Department",Yes,Yes
GA,2019,"Atlanta Public Schools",Yes,Yes
GA,2019,"Brookhaven Police Department",Yes,Yes
GA,2019,"Burke County Sheriff's Office",Yes,Yes
GA,2019,"Byron Police Department",Yes,Yes
GA,2019,"Canton Police Department",Yes,Yes
GA,2019,"Carrollton Police Department",Yes,Yes
GA,2019,"Catoosa County Sheriff's Office",,Yes
GA,2019,"Chamblee Police Department",Yes,Yes
GA,2019,"Chatham County Police Department",Yes,Yes
GA,2019,"Cherokee County Sheriff's Office",Yes,
GA,2019,"Clarkston Police Department",Yes,
GA,2019,"Clayton County Police Department",,Yes
GA,2019,"Clayton Police Department",,Yes
GA,2019,"Cobb County Sheriff's Office",,Yes
GA,2019,"College Park Police Department",Yes,Yes
GA,2019,"Conyers Police Department",Yes,Yes
GA,2019,"DeKalb County Police Department",Yes,Yes
GA,2019,"Dunwoody  Police Department",Yes,Yes
GA,2019,"Elberton Police Department",Yes,Yes
GA,2019,"Ellijay Police Department",Yes,Yes
GA,2019,"Fairburn Police Department",Yes,Yes
GA,2019,"Fulton County Marshal",Yes,Yes
GA,2019,"Fulton County Police Department",Yes,Yes
GA,2019,"Fulton County Sheriff's Office",Yes,Yes
GA,2019,"Georgia Bureau of Investigation, Headquarters",Yes,Yes
GA,2019,"Georgia Department of Public Safety",Yes,Yes
GA,2019,"Georgia Institute of Technology",Yes,Yes
GA,2019,"Georgia State Board of Pardons and Paroles, Office of Internal Affairs and Training",Yes,Yes
GA,2019,"Georgia State University",Yes,Yes
GA,2019,"Gwinnett County Police Department",Yes,Yes
GA,2019,"Gwinnett County Sheriff's Office",Yes,
GA,2019,"Hiawassee Police Department",Yes,Yes
GA,2019,"Hiram Police Department",,Yes
GA,2019,"Holly Springs Police Department",,Yes
GA,2019,"Jefferson Police Department",,Yes
GA,2019,"Johns Creek Police Department",Yes,Yes
GA,2019,"Kennesaw Police Department",Yes,Yes
GA,2019,"Kennesaw State University",Yes,Yes
GA,2019,"LaGrange Police Department",Yes,Yes
GA,2019,"Metropolitan Atlanta Rapid Transit Authority",Yes,Yes
GA,2019,"Monroe Police Department",Yes,Yes
GA,2019,"Moultrie Police Department",,Yes
GA,2019,"Pine Lake Police Department",Yes,Yes
GA,2019,"Riverdale Police Department",Yes,
GA,2019,"Rockdale County Sheriff's Office",Yes,Yes
GA,2019,"Rome Police Department",Yes,Yes
GA,2019,"Roswell Police Department",Yes,Yes
GA,2019,"Sandy Springs Police Department",Yes,Yes
GA,2019,"Savannah-Chatham Metropolitan Police Department",Yes,Yes
